content,score,aspek,sentimen
aplikasi ini sangat membantu dalam pekerjaan,5,Kepraktisan,Positif  
fiturnya lengkap dan mudah digunakan,5,Fitur,Positif  
sering error saat login,2,Autentikasi,Negatif  
tampilannya menarik dan user-friendly,5,Performa,Positif  
butuh akses internet yang stabil,3,Kepraktisan,Netral  
membantu sekali dalam mengelola data,5,Kepraktisan,Positif  
loading lama saat membuka aplikasi,2,Performa,Negatif  
bagus dan sangat bermanfaat,5,Umum,Positif  
banyak iklan yang mengganggu,2,Iklan,Negatif  
terkadang sulit untuk login,3,Autentikasi,Netral  
mempermudah pekerjaan guru,5,Kepraktisan,Positif  
aplikasi ini sering crash,2,Performa,Negatif  
informasi yang diberikan sangat akurat,5,Informasi,Positif  
butuh pembaruan agar lebih stabil,3,Performa,Netral  
mudah digunakan oleh semua orang,5,Kepraktisan,Positif  
iklan terlalu sering muncul,2,Iklan,Negatif  
sangat membantu untuk mencari data,5,Kepraktisan,Positif  
fitur-fiturnya canggih dan update,5,Fitur,Positif  
login sering gagal,2,Autentikasi,Negatif  
terkadang lambat saat memuat halaman,3,Performa,Netral  
desainnya simpel dan enak dipakai,5,Performa,Positif  
data yang ditampilkan kurang lengkap,3,Informasi,Netral  
aplikasi ini sangat lambat,2,Performa,Negatif  
sangat praktis untuk digunakan,5,Kepraktisan,Positif  
suka tiba-tiba keluar sendiri,2,Performa,Negatif  
informasi yang disajikan kurang update,3,Informasi,Netral  
butuh peningkatan kecepatan,3,Performa,Netral  
fitur pencarian sangat membantu,5,Fitur,Positif  
aplikasi terlalu berat untuk HP lama,2,Performa,Negatif  
iklan muncul saat sedang bekerja,2,Iklan,Negatif  
mempermudah akses ke data penting,5,Kepraktisan,Positif  
terkadang susah diakses,3,Performa,Netral  
user interface sangat nyaman,5,Performa,Positif  
banyak bug yang perlu diperbaiki,2,Performa,Negatif  
tidak bisa login setelah update,2,Autentikasi,Negatif  
cukup baik tapi masih ada bug,3,Performa,Netral  
butuh fitur tambahan untuk laporan,4,Fitur,Netral  
respon aplikasi sangat cepat,5,Performa,Positif  
membantu dalam pekerjaan administrasi,5,Kepraktisan,Positif  
tampilan modern dan responsif,5,Performa,Positif  
iklan tidak terlalu mengganggu,4,Iklan,Netral  
banyak fitur menarik,5,Fitur,Positif  
login dengan sidik jari sangat membantu,5,Autentikasi,Positif  
proses login sangat lama,2,Autentikasi,Negatif  
data sering tidak sinkron,3,Informasi,Netral  
mudah digunakan oleh semua kalangan,5,Kepraktisan,Positif  
terkadang error tanpa alasan jelas,3,Performa,Netral  
informasi yang diberikan jelas,5,Informasi,Positif  
memudahkan dalam pencatatan data,5,Kepraktisan,Positif  
iklan muncul di tengah pekerjaan,2,Iklan,Negatif  
butuh fitur dark mode,4,Fitur,Netral  
update terbaru membuat lebih ringan,5,Performa,Positif  
sistem keamanan sangat bagus,5,Autentikasi,Positif  
loading data sangat lambat,2,Performa,Negatif  
fitur notifikasi sangat membantu,5,Fitur,Positif  
terkadang login otomatis gagal,3,Autentikasi,Netral  
tidak bisa diakses saat jaringan lemah,3,Kepraktisan,Netral  
aplikasi ini sangat direkomendasikan,5,Umum,Positif  
banyak fitur yang berguna,5,Fitur,Positif  
pengalaman pengguna sangat baik,5,Performa,Positif  
sering update tanpa perubahan berarti,3,Umum,Netral  
butuh peningkatan stabilitas,3,Performa,Netral  
iklan terlalu banyak di versi gratis,2,Iklan,Negatif  
proses sinkronisasi cepat,5,Performa,Positif  
memudahkan manajemen tugas,5,Kepraktisan,Positif  
butuh mode offline,4,Fitur,Netral  
keamanan data sangat terjamin,5,Autentikasi,Positif  
sangat mudah dioperasikan,5,Kepraktisan,Positif  
aplikasi sering hang saat digunakan,2,Performa,Negatif  
fitur backup data sangat bermanfaat,5,Fitur,Positif  
terkadang sulit terhubung ke server,3,Performa,Netral  
mudah diakses kapan saja,5,Kepraktisan,Positif  
tampilan sederhana tapi efektif,5,Performa,Positif  
iklan terkadang membuat lag,3,Iklan,Netral  
fitur laporan sangat membantu,5,Fitur,Positif  
butuh opsi pengaturan lebih lengkap,4,Fitur,Netral  
desain sangat intuitif,5,Performa,Positif  
butuh perbaikan bug pada form input,3,Performa,Netral  
login menggunakan email sangat mudah,5,Autentikasi,Positif  
proses update terkadang memakan waktu,3,Performa,Netral  
terkadang aplikasi force close,2,Performa,Negatif  
informasi yang diberikan sangat lengkap,5,Informasi,Positif  
butuh lebih banyak opsi personalisasi,4,Fitur,Netral  
tampilan aplikasi sangat menarik,5,Performa,Positif  
banyak fitur inovatif,5,Fitur,Positif  
kecepatan respon aplikasi bagus,5,Performa,Positif  
sering gagal memuat halaman,2,Performa,Negatif  
iklan muncul setiap beberapa menit,2,Iklan,Negatif  
pengalaman pengguna sangat nyaman,5,Performa,Positif  
butuh lebih banyak tutorial penggunaan,4,Informasi,Netral  
keamanan akun sangat terjaga,5,Autentikasi,Positif  
mudah dipahami oleh pengguna baru,5,Kepraktisan,Positif  
banyak error setelah update terbaru,2,Performa,Negatif  
butuh fitur auto-save,4,Fitur,Netral  
informasi yang ditampilkan akurat,5,Informasi,Positif  
butuh dukungan lebih banyak perangkat,4,Fitur,Netral  
aplikasi ini ringan dan cepat,5,Performa,Positif  
banyak fitur yang tidak bisa digunakan,2,Fitur,Negatif  
iklan terlalu berlebihan,2,Iklan,Negatif  
butuh lebih banyak opsi integrasi,4,Fitur,Netral  
aplikasi sangat stabil dan responsif,5,Performa,Positif  