content,score,at
sangat bagus untuk membantu bapak ibu guru dalam melihat datanya dengan cepat,5,2024-11-09 10:26:43
sangat membantu app ini karena kami membutuhkan informasi trimakasih simpatika,5,2024-11-21 19:08:36
aplikasi paling top kereen banget lengkap yang membuat aplikasi pinter banget sudah diberi kecerdasan ilmu dan mau untuk berbagi terima kasih semoga sukses selalu,5,2020-10-23 00:21:23
alhamdulillaah sangat membantu,5,2025-01-06 16:55:20
saya berikan bintang  karena semua ikhtiar demi kebaikan walaupun masih perlu pengembangan saya berikan apresiasi yang setinggitingginya terimakasih app ini sangat bermanfaat bagi kami para guru diseluruh nusantara,5,2020-09-29 22:34:58
boleh saya kasih full  bintang tapi ada syarat nya he he tolong permudah saya ketika saya lupa password karena dah berbagai cara apapun saya ikuti instruksi untuk reset password namun belum berhasil juga hingga sekarang,5,2020-02-19 11:15:21
aplikasi simpel dan mudah dipahamimudahmudahan di masa depan di aplikasi simpatika memberikan banyak solusi untuk kbm di lingkungan kemenag,5,2020-06-13 09:21:51
mudah mengerjakan sesuatu terutama apabila ada kesalahan pengisian data dengan mudah diperbaiki,5,2020-01-31 16:15:11
layanannya sangat bagus dan membantu dalam menyiapkan dokumen,5,2023-03-02 12:22:32
terima kasih dgn adanya app ini bisa terbantu dan cepat memantau data saya dan mendapatkan informasi dari kemenag,5,2021-06-07 03:12:39
siap simpatika adalah layanan komunikasi yang sangat bermanfaat bagi guru yang tertakit dengan informasi dari kemenag memudahkan para guru dibawah naungan kemenag untuk selalu mendapatkan informasi aktual yang dapat dipertanggungjawabkan dan sangat membantu karena akan selalu mendapatkan informasi terbaru sehingga tidak akan ketinggalan informasi tentunya informasi yang sangat diharapkan guru tentunya hal hal yang bersifat membantu kelancaran kerja dan kebijakan pemerintah yang berpihak pada guru seperti inpasing yang belum didapat oleh sebagian besar guru yang sebenarnya sudah memenuhi syarat sangat berharap kapan ya inpasing digulirkan semoga bisa dapatkanikut menikmati sebelum pensiun sebagai buah pengapdian yang tulus dan ikhlas dengan segenap kebanggaan dan kesetiaan,5,2021-06-24 10:55:36
sangat membantu sukses selalu,5,2024-10-01 11:39:26
mantab dan sangat bagus untuk membantu keperluan yang di butuhkan,5,2024-09-06 12:05:14
sangat membantu semoga bermanfaat ,5,2024-11-05 09:11:38
terus tingkatkan perubahan kearah yang lebih baik dan mudah,5,2024-11-04 13:36:37
sangat membantu mendapat informasi,5,2024-10-30 14:52:21
sangat bermanfaat untuk ummat,5,2024-09-19 21:39:39
bagus dan mudah penggunaannya,5,2024-12-18 05:50:31
terimakasih untuk yg membuat app ini  memudahkan saya untuk melihat data dan menerima info dari kemenag,5,2021-02-13 08:15:49
aplikasinya belum bisa dipakai semuanya,5,2024-10-28 07:41:18
maju terus kemenag,5,2025-01-06 11:50:55
aku berharap bisa dipanggil lagi ikut ppgpernah dipanggil  tapi kendala jaringantolong bantu saya krn tdk ppg sy tdk bisa usul naik pangkatterimakasih,5,2021-09-11 16:52:38
iklan selalu mengganggu jangan ada ikalan lagi,5,2018-10-10 21:14:12
sangat membantu semoga lebih di tingkatkan lagi,5,2020-02-16 21:29:06
terimakasih dengan apk ini kita dapat lebih mudah masuk akun ptk masingasing,5,2021-10-07 09:30:24
bagus sekali tidak berbelit belit mudah untuk di buka,5,2020-10-13 05:46:32
sangat membantu lewat hp lebih cepat akses,5,2020-12-16 05:10:32
bagus cara pengoperasian lebih mudah,5,2020-08-03 14:54:13
dengan aplikasi siap simpatika saya dapat mengetahui informasi penting yang disampaikan kemenag untuk guruguru yang mana tidak semua informasi dari kemenag disampaikan ke guruguru atau bahkan kepala sekolah tidak atau belum mengetahui informasi terbaru,5,2020-12-06 05:24:42
segera atasi kelambatan yg terjadi,5,2018-11-01 08:59:56
luar biasa saya dapat memantau perkembangan akun dan madrasah binaan saya dengan mudah jazakallohu,5,2020-11-29 05:13:09
praktis untuk semua operator simpatika,5,2019-09-17 00:01:11
mudah dan praktis,5,2018-10-08 13:57:07
sangat baik untk bagi guru pai untk mengaktifkannya,5,2019-01-29 13:52:42
semoga aplikasi simpatika bisa menjangkau kita yang belum bisa ppg karena keterbatasan umur walau ijasah sudah linier dan masa pengabdian sudah lama,5,2022-03-08 05:02:58
apk sangat membantu semua guru terhusus guru non pns,5,2022-10-22 21:08:17
cukup membantu kami dari praktisi akademisi,5,2018-10-24 08:25:07
semoga dengan aplikasi ini kta semua di mudahkan dalam mengurus simpatika,5,2018-10-15 21:23:47
praktis  mudah terima kasih,5,2020-10-16 13:20:31
belajar dan terus belajargo terimakasih simpatika,5,2019-11-22 23:13:42
sangat bermanfaat,5,2024-10-25 23:58:56
lebih baik tidak ada iklan,5,2018-10-16 11:03:02
memang berguna,5,2025-02-11 10:02:01
semoga dengan kelima bintang ini kwalitas aplikasinya semakin baik kedepannya,5,2019-09-11 08:27:56
semoga sukses,5,2024-12-21 02:06:45
semoga menjadi lebih baik,5,2024-12-27 18:45:17
sangat membantu guru agama katolik untuk mencek data,5,2022-06-24 09:46:40
alhamdulillah siap simpatika mempeudah kita dalam mengetahui informasi di simpatika,5,2024-02-21 13:35:11
sangat memudahkan ,5,2024-11-27 12:17:01
mantap sangat berfungsi,5,2020-02-11 12:45:13
luar biasa luar biasa,5,2024-08-15 01:02:00
data saya tidak ditemukan apa solusinya ,5,2024-04-14 09:02:37
sangat memudahkan kita untuk berkomunikasi dengan orang lain,5,2019-12-11 12:40:13
mudah dan lancar,5,2019-05-08 11:36:33
sangat mudah digunakan,5,2019-11-20 12:39:29
sngat membantu sekali dngan aplikasi ini,5,2018-12-08 07:41:02
mantap n bagus membantu sekali,5,2018-10-22 17:58:26
cepat dan mantaaf,5,2019-04-09 08:50:20
cepat aplikasinya,5,2021-02-03 09:11:06
sangat dibutuhkan untuk kroscek data pns,5,2019-02-28 14:20:09
simpatika emang mantaaaaapjayalah selalu kemenag,5,2020-12-23 11:55:22
dengan adanya aplikasi ini semoga ptk selalu mendaptkan informasi yang memuaskan penggunanya,5,2019-03-09 09:00:24
lebih ditingkatkan lagi,5,2019-05-03 23:34:56
kebanyakan aplikasi nih di kemenag,5,2018-10-31 15:22:46
bagus tapi butuh waktu biar fahammmm ,5,2020-12-14 16:23:34
bagus cukup membantu,5,2019-08-02 02:17:23
siap simpatika selalu oke,5,2018-11-18 21:20:13
sangat membantu sekali,5,2019-10-15 22:19:36
mohon lebih diupdate informasinya,5,2020-11-23 21:12:01
menurut saya cukup membantu,5,2020-08-03 13:03:49
memudahkan penggunaterima kasih,5,2022-02-03 17:37:28
semoga membantu tapi agak lelet,5,2021-01-09 08:53:38
sayang blm bisa di install,5,2019-03-29 13:49:43
memperbaharui data dari thn  sampai dg ,5,2021-02-09 09:03:07
ok bangat dapat login ptk,5,2019-05-03 02:31:53
dengan ikhtiar insyaallah bisa,5,2020-10-11 18:41:45
semoga bisa membantu lebih baik,5,2019-11-05 20:27:15
iklan dihapus saja,5,2018-10-08 14:54:32
keren bisa membantu,5,2021-05-10 12:43:49
sangat bermanfaat,5,2020-10-02 14:15:50
sangat membantu,5,2020-10-09 17:35:17
aplikasi yang bagus,5,2019-08-21 20:55:10
sangat membantu,5,2021-05-08 15:10:23
semoga bisa untuk seluruh ptk,5,2019-05-03 17:20:06
sangat memuaskan,5,2019-08-14 21:29:37
inshaallah bermanfaat,5,2024-12-26 19:37:53
sangat membantu,5,2022-07-01 10:09:31
sangat membantu,5,2020-02-05 10:18:26
sangat membantu,5,2020-05-03 04:29:42
sangat bermanfaat,5,2020-08-18 22:59:08
thanks sangat membatu,5,2020-08-06 08:10:54
sangat membantu,5,2020-07-01 12:34:50
ok sangat membantu,5,2021-12-26 20:22:45
ditingkatkan lagi,5,2019-07-03 22:13:17
sangat membantu,5,2019-12-31 14:14:14
sangat membantu,5,2019-02-23 11:36:00
bagus dn mantap,5,2019-01-30 09:16:53
sangat membantu,5,2021-10-03 19:53:33
sangat membantu,5,2021-01-09 00:34:11
sangat membantu,5,2020-12-17 18:07:15
semoga lebih menunjang karirku,5,2018-12-11 23:38:44
lebih d permudah lg,5,2018-11-01 15:07:09
sangat membntu,5,2019-05-30 07:10:06
membantu kami guru,5,2019-04-26 06:03:51
semoga membantu,5,2019-05-19 04:26:20
mudah di akses,5,2020-06-04 08:16:54
membantu sekali,5,2019-05-05 07:05:54
kepegawain madrasah,5,2018-11-05 16:42:37
memudahkan mengecek akun ptk,5,2019-03-23 22:59:57
semakin sip,5,2019-01-15 12:35:50
bagus sekali,5,2020-09-01 19:37:08
alhamdulillah,5,2024-12-26 09:04:21
ok,5,2024-12-26 20:39:42
ok,5,2024-12-26 20:39:35
bagus,5,2024-12-25 16:55:31
sangat bagus,5,2024-12-29 06:47:29
asyik,5,2024-12-21 21:10:04
ok,5,2024-11-14 09:05:25
sangat bagus,5,2025-02-10 23:41:08
luar biasa,5,2024-11-04 09:42:14
baik,5,2024-11-02 20:35:49
simpel,5,2024-10-29 20:07:57
mantap,5,2024-11-04 16:33:14
sangat baik,5,2024-10-28 06:49:58
sangat baik,5,2024-10-27 22:27:17
semuga bermanfaa,5,2024-11-02 14:25:19
is the best to simpatika,5,2024-11-02 15:15:35
mantap pisan,5,2024-09-18 14:12:30
awal  sd  this apk,5,2020-04-27 15:33:20
ok maturnuwuuun,5,2020-12-02 22:43:32
mantaaab,5,2019-11-30 09:26:53
ok,5,2023-06-25 00:14:10
ok,5,2021-01-12 13:29:09
good,5,2019-10-23 20:37:56
ok,5,2021-01-02 19:26:31
mantap,5,2020-06-27 09:08:43
mantul,5,2019-09-24 07:34:05
good,5,2020-10-06 06:49:27
bagussss,5,2019-07-15 20:27:25
ok,5,2019-12-11 08:59:54
bagus,5,2024-07-21 10:03:52
ok,5,2020-10-27 18:32:41
mantap,5,2022-01-07 23:53:06
mantap,5,2020-09-23 13:08:56
ok,5,2019-11-10 12:02:39
mantap,5,2019-08-20 05:11:15
mantap,5,2020-05-16 01:18:58
good,5,2020-02-05 09:34:45
mantap,5,2024-01-30 00:20:20
ok,5,2019-10-10 01:14:38
mantab,5,2022-05-17 12:39:03
jos,5,2019-10-01 21:59:45
bagus,5,2019-08-05 06:41:06
ok,5,2019-12-03 16:56:49
good,5,2020-01-09 11:16:42
mantap,5,2023-03-23 11:00:34
mantap,5,2020-12-06 19:29:32
lumayan,5,2021-01-13 11:28:53
ok,5,2022-08-20 11:37:31
mantabs,5,2019-12-15 06:44:02
lancar,5,2022-02-21 18:02:10
mantap,5,2021-05-26 13:35:20
bagus,5,2019-11-14 02:51:34
mantap,5,2022-02-20 11:43:03
mantap,5,2019-09-07 10:21:14
ok,5,2019-10-08 20:46:18
membantu,5,2019-08-29 11:20:37
mantap,5,2019-11-09 10:56:44
bagus,5,2020-07-13 13:23:17
good,5,2020-01-26 21:34:42
mapia,5,2022-07-13 18:34:57
mantafff,5,2020-11-23 16:49:52
mantap,5,2021-01-03 13:09:30
like,5,2022-09-22 18:33:40
lumayan,5,2021-01-16 10:29:42
sangat baik,5,2021-09-21 20:20:13
sangat puas,5,2020-11-20 06:40:47
ok cepat,5,2024-06-23 22:57:51
ok banget,5,2019-09-13 19:51:51
sangat bermanfaat,5,2023-04-06 10:11:18
sangat bagus,5,2021-12-18 22:30:38
ok manfaat,5,2022-05-29 17:57:31
lebih simple,5,2020-06-13 06:53:18
bagus banget,5,2023-06-06 14:26:50
,5,2020-01-28 23:09:31
,5,2021-02-10 08:28:51
,5,2019-09-10 18:02:31
,5,2020-10-29 08:16:56
alhamdulillah,5,2019-06-01 01:22:32
bagus,5,2019-05-12 09:56:53
bagus,5,2019-02-07 08:59:12
mantab,5,2019-05-23 20:36:27
good,5,2019-04-30 20:01:47
good,5,2019-05-01 17:48:43
good,5,2019-04-27 10:43:41
ok,5,2019-05-18 23:56:42
mantaap,5,2019-04-11 08:55:02
ok,5,2019-05-29 10:09:40
informatig,5,2019-05-18 03:58:25
siiiiip,5,2019-04-04 10:46:35
good,5,2019-05-24 06:11:58
bermanfaat,5,2019-04-15 14:57:10
oke,5,2019-07-25 09:19:40
mantul,5,2019-03-21 13:55:58
mantap jiwa,5,2019-03-28 20:34:00
good job,5,2019-02-18 21:01:11
sangat puas,5,2019-04-28 18:03:01
top bgt,5,2019-05-03 03:26:18
,5,2019-03-30 09:17:36
bantu kami untuk memperlancar proses pendidikan kepada anak bangsa,5,2018-07-24 22:01:04
melihat data nuptk dengan mudah terimakasih,5,2018-02-19 01:48:32
bagus tingkatkan trus,5,2018-08-16 11:25:47
aplikasi ini sangat membantu untuk melihat info secara online,5,2018-05-02 09:56:33
aplikasi ini membantu ptk login simpatika dg praktis,5,2017-10-16 09:33:00
mohon di tambah sebagai admin sekolah,5,2018-06-01 22:54:47
sangat membatu  good app,5,2019-01-10 13:14:37
mantap membantu dalam proses ptk,5,2018-02-16 21:05:01
mudah dan praktis,5,2018-02-03 07:20:56
good,5,2017-12-09 17:35:56
hatur thank u,5,2018-03-27 14:01:33
cepat dan mudah diakses,5,2018-08-02 11:11:27
nice,5,2017-12-13 15:46:22
ok,5,2019-01-11 12:47:05
sip,5,2018-11-18 14:58:48
bagus,5,2018-10-10 09:38:16
terimakasih,5,2018-07-31 03:30:06
mantap,5,2020-02-04 19:29:37
bermanfaat,5,2018-11-17 03:41:06
sukses,5,2017-10-20 22:02:05
good,5,2018-11-26 13:41:56
excellent,5,2019-01-07 18:37:03
ok,5,2018-02-11 13:06:38
jozz,5,2019-10-25 08:51:35
keren,5,2018-02-17 14:03:08
sangat membantu,5,2017-11-06 18:35:02
good adlikasi ya,5,2018-03-11 06:43:25
msh coba,5,2018-05-15 13:55:58
easy to use,5,2018-03-10 16:05:00
madrasah hebat,5,2018-11-26 09:29:49
siap kerja,5,2018-08-01 09:22:33
ok sekali,5,2018-12-02 16:41:10
hebat dan bermartabat,5,2018-05-17 23:31:48
terima kasih,5,2018-12-04 14:33:36
sangat membantu,5,2018-01-09 11:31:10
sudah baik,5,2018-08-25 19:07:14
dg adanyatersedianyaya layanan ini kami semua sangatlah bermohon untuk parmudahkan kami mengakses semua layanan yg tersedia agar kami mudah jg mengisi smua data yg ada dan harus km isikan dan butuhkan,5,2016-06-24 09:33:13
peningkatan kemapuan baca tulis hurufhuruf alif lam syamsyyah dan alif lam qamariah materi pelajaran pai siswa kelas vii smpn i kapuas hulu,5,2016-06-25 04:01:57
dengan adanya apl ini semoga saya dapat mengajukan inpassing yang dulu pernah mengajukan tapi katanya data telah hilang amiiin,5,2016-10-19 21:07:07
smg guru honorer pai di sekolah negeri naungan kemendiknas segera bisa jg memiliki nuptk,5,2016-08-04 16:43:57
semoga guru pak dimana pun berada bisa jadi pegawai negri,5,2017-06-23 15:37:05
mudah dpt kl pas lg lupa nomer jd cepat,5,2017-09-09 15:46:50
bagus sekali aplikasinya bisa dibawa bawa kemana mau ,5,2016-08-25 11:20:19
terimakasih sangat membantu aplikasi ini tingkatan lagi ya,5,2016-10-09 16:36:40
sangat mudah untuk mencari data nuptk kita,5,2016-06-08 16:42:12
tingkatkan lagi dgn apl yg lain lgi,5,2016-09-13 10:12:55
mantabsangat membantu sekali,5,2016-10-27 09:29:22
sngt mmbntu se x,5,2016-05-26 13:01:53
bagus dan perlu terus peningkatan,5,2016-05-16 05:28:37
apk ini sangat memudhkn aa,5,2017-02-23 07:23:29
bisa membantu ptk untuk ke aktifan nuptk trims,5,2016-08-03 05:59:49
semoga akses ini benar bisa mempermudah,5,2016-08-13 19:08:48
bisa membantu ptk untuk mengecek data,5,2016-09-18 10:07:23
sangat membantu mencari teman seangkatan,5,2017-10-24 18:29:53
mudah dan cepatpraktis,5,2017-06-21 13:29:05
sangat membantu mencari nuptk,5,2016-07-05 22:46:06
terus update untuk mengawal guru,5,2016-07-10 11:00:07
ok banget neh aplikasi,5,2016-09-26 18:33:59
sangat membantu terima kasih,5,2017-03-27 05:44:51
sangat membantu untuk sekedar mengecek,5,2017-02-25 20:00:41
tidak lengkap kemenag tidak ada,5,2016-09-26 14:15:41
sip lah,5,2017-10-12 16:45:27
bagus sangat membantu,5,2017-02-27 09:26:18
bagaimana jika sekolah induknya berubah,5,2017-03-17 10:22:41
ok sgt membantu,5,2017-09-26 09:28:25
aplikasi yang sangat berguna,5,2016-09-25 19:12:54
aplikasi ini muda digunakan,5,2016-09-01 11:06:29
good,5,2017-02-17 19:21:07
amazing,5,2017-09-10 05:46:36
helpfull,5,2017-03-25 14:50:32
siiip,5,2016-09-09 13:35:05
siiip,5,2016-09-15 09:36:28
mantp,5,2017-09-12 19:30:28
mantap,5,2017-03-15 08:14:36
mantap,5,2016-11-03 22:35:03
coba coba,5,2017-09-24 05:59:35
ok,5,2017-08-23 15:44:48
siiiippp,5,2017-01-25 10:10:53
alhamdulillahwasyukurilah,5,2017-02-03 21:59:44
kereennnn,5,2016-06-07 08:02:14
sangat membantu,5,2017-08-20 10:13:20
jhos gandos,5,2017-08-08 20:40:42
semoga bermanfaat,5,2017-09-20 13:25:17
sangat bermanfaat,5,2017-03-17 23:14:15
sangat bermanfaat,5,2016-05-20 02:48:43
sangat membantu,5,2017-07-24 07:58:40
sangat membantu,5,2016-08-29 17:59:08
aplikasiiiii bagussssssss,5,2016-09-26 09:59:49
sangat bagus sekalisuatu cara untuk memberikan publik ruang pengetahuan tentang ptk,5,2016-03-28 06:51:26
keren mempermudah para admin utk mengakses data terimakasih utk app ini,5,2016-02-27 14:22:07
mantaaaal aku kasih ,5,2016-05-11 15:46:50
baik perlu ditingkatkan ya,5,2017-06-03 18:56:23
informasi selalu uptodate,5,2016-02-14 17:56:15
trims atas aplikasinya,5,2016-03-07 14:05:59
good,5,2016-01-24 07:51:23
ok,5,2020-07-03 20:51:26
praktis dan simpel,5,2016-02-10 13:32:19
sangat helfull,5,2016-03-15 16:08:47
sangat membantu,5,2016-02-28 19:31:08
,5,2016-02-08 10:07:05
sangat membantu kedepanny mungkin bsa verval via android berharap,5,2015-05-20 11:21:07
sangat membantu dalam mengetahui keaktifan dari ptkp good   ,5,2015-06-02 20:50:14
android saya kitkat tp tidak bisa login ptk login gagal,5,2015-06-13 21:05:14
semoga lebih bagus lagi nrg bisa jadi satu dengan nuptk,5,2015-06-09 10:10:09
sangat bermanfaat dan praktis selalu diperbarui terima kasih,5,2015-04-18 10:44:57
sangat bermanfaat sekali bagi guru,5,2015-06-12 07:53:21
aplikasi yg lawassangat membantu,5,2015-06-18 19:52:46
sangat membantumudah di updatedan cepat,5,2015-05-06 13:15:17
sangat membantu sekalimantaaap,5,2015-04-23 01:54:02
sangat membantu memberikan informasi terkait ptk,5,2015-07-12 04:27:08
sangat terbantu untuk mencari data ptk tanks ya,5,2015-12-22 03:58:29
mohon sempurnakan aplikasinya dan update terus,5,2015-11-16 06:23:37
tetnyata mudah tampa laptop anfroid saja cukup,5,2015-05-27 22:39:12
terus dikembangkan lagi yaaaaa,5,2015-06-27 14:57:33
sangat membantu applix mantap,5,2015-04-28 10:37:44
top markotop update terus,5,2015-07-11 08:14:18
sangat membantu sekalimakasih ,5,2015-05-07 08:57:58
lebih mudah kerja nya dan ngecek nya,5,2015-06-23 21:58:09
suwun mbantu banget,5,2015-05-03 14:14:28
terima kasih sangat membantu sekali,5,2015-04-26 20:11:08
kalau bisa langsung kerja data di sini,5,2015-05-07 14:18:38
aplikasi ini sangat memudahkan,5,2015-06-15 12:51:37
lebih simpel trims,5,2016-01-13 08:06:51
lebih baik madrasah madrasah lebih baij,5,2017-08-27 06:34:02
tolong dibuatkan juga login sekolah,5,2015-05-25 08:01:09
bisa update berita pendidikan,5,2015-04-30 13:51:38
semudah anda main game,5,2015-07-09 00:04:46
sangat membantu,5,2015-05-14 07:10:57
i like its,5,2015-05-22 18:14:40
sangat memudahkan,5,2015-04-27 10:35:58
membantu sekali,5,2015-06-01 04:02:17
jos gandos kotos,5,2015-04-18 09:54:23
bagus sangat menarik,5,2015-07-09 03:33:18
cara membuat ptk,5,2015-09-28 15:51:24
sangat bermanfaat dan memudahkan,5,2015-05-26 07:45:19
trs d update,5,2015-04-17 19:29:09
semoga manfaat fiddaaroini,5,2015-12-02 10:00:18
luar biasa membantu,5,2015-09-30 04:47:31
sangat membantu saya,5,2015-10-19 08:06:12
memmbantu,5,2015-10-31 02:07:03
banget,5,2015-05-18 11:33:16
membantu,5,2015-09-23 11:45:13
mantap,5,2015-10-22 22:01:41
thanks,5,2015-04-27 12:16:43
mantap,5,2015-07-07 20:37:48
good,5,2015-09-12 07:02:47
bagus,5,2015-05-05 12:14:07
siip,5,2015-05-11 09:14:59
good,5,2015-10-18 11:48:41
valid,5,2015-05-10 03:29:03
oye,5,2015-04-19 01:38:21
sip,5,2015-06-29 20:34:42
siap,5,2015-08-31 09:46:36
ziiiiip,5,2015-04-26 08:37:36
bagus,5,2015-10-19 10:23:24
aja,5,2015-07-27 13:07:45
baguss,5,2015-09-21 17:44:55
ukg,5,2015-12-28 20:16:49
alhamdulillah,5,2015-06-30 02:04:51
mntapppp,5,2015-10-04 08:49:24
good,5,2015-09-04 22:51:54
siiip,5,2015-07-02 19:49:16
good luck,5,2015-09-08 19:44:14
mantab kali,5,2015-06-30 11:26:01
pkt online,5,2015-07-21 14:59:19
bagus sekali,5,2015-04-26 19:08:22
banyak manfaatnya,5,2015-12-15 20:01:41
memudahkan ptk,5,2015-05-24 15:24:48
bagus sekali,5,2015-11-06 23:20:39
susah loginx,5,2015-08-15 15:56:05
sangat membantu,5,2015-04-29 07:33:06
sangat membantu,5,2015-05-27 18:01:44
sangat membantu,5,2015-06-11 12:01:40
membantu sekali,5,2015-11-28 11:15:35
bagus dan mudah,5,2015-05-11 16:48:03
sangat membantu,5,2015-10-20 15:10:58
sangat membantu,5,2015-08-11 13:10:10
saya sangat suka web ini tapi sering kesulitan mengakses lewat android saya nggak tahu sebabnya saya sangat senang banyak teman memberikan infp sekaligis dituntun aplikasinya eh ternyata kendala juga dak bisa masuk contoh untuk info ptk dikmen petunjuk sdh saya ikuti tapi belum bisa masuk hanya sampai pada bagian login saya masukkan nomor nuptk dan tanggal lahir berkali kali saya coba hadilnya sama dak bisa masul apa ya kesalahnnya atau kuramg apa  mungkin ada yang bisa bantu makasih,5,2015-04-02 11:33:04
aplikasi benar sangat membantu saya bisa cek status nuptk kapanpun dimanapun,5,2015-01-25 16:10:29
membantu saya dalam mencari informasi data padamu negeri saya tanpa harus ke warnet,5,2015-02-22 21:50:15
memberikan kemudahan buat para pendidik untuk mendapatkan informasi terkait dgn sertifikasi dll,5,2015-03-15 08:22:35
sangat membantu sekali bagi ptk yg berurusan dg dinas terkait,5,2015-04-10 18:33:58
saya cukup acungkan jempol dan sangat berapresiasi dgn pelayanan kemendikbud dalam meningkatkan sdm khususnya para guru di seluruh indonesia,5,2015-03-03 11:53:07
bagus sangat membantu tingkatkan lagi kemampuan aplikasinya,5,2015-04-06 16:39:23
bagus trus tingkatkan n kalo bisa sekalian biar bisa edit data,5,2014-12-22 21:19:44
yang penting jangan ada data on line selain dapodik ok,5,2015-07-09 08:26:17
